zip_code,station_count,mean_commute_time,median_income
90001,2.0,14.121,57698.0
90002,2.0,11.883,54221.0
90003,0.0,16.52,51275.0
90004,1.0,17.042,58420.0
90005,1.0,11.995,49226.0
90006,0.0,16.622,47599.0
90007,3.0,9.231,36326.0
90008,2.0,7.432,57880.0
90010,2.0,1.609,92454.0
90011,0.0,26.76,51819.0
90012,7.0,8.748,58444.0
90013,1.0,3.622,24853.0
90014,0.0,2.371,26550.0
90015,2.0,8.966,61959.0
90016,4.0,13.063,63090.0
90017,2.0,8.741,46626.0
90018,2.0,12.131,58987.0
90019,0.0,17.179,65972.0
90020,0.0,10.812,55321.0
90021,1.0,0.824,29659.0
90022,3.0,17.272,65142.0
90023,0.0,10.428,52918.0
90024,0.0,9.597,74852.0
90025,0.0,15.007,103511.0
90026,0.0,19.433,80549.0
90027,2.0,14.18,86826.0
90028,2.0,10.308,57258.0
90029,1.0,9.882,56529.0
90031,1.0,9.599,59889.0
90032,0.0,10.798,76608.0
90033,3.0,11.339,50616.0
90034,1.0,17.975,97511.0
90035,0.0,6.983,110520.0
90036,0.0,10.982,97583.0
90037,0.0,16.941,52238.0
90038,0.0,9.898,57102.0
90039,0.0,8.123,108338.0
90040,0.0,2.737,62083.0
90041,0.0,7.563,111938.0
90042,1.0,16.869,89168.0
90043,1.0,9.132,63990.0
90044,1.0,20.382,48386.0
90045,3.0,10.649,125692.0
90046,0.0,17.008,87339.0
90047,0.0,10.961,67018.0
90048,0.0,6.238,102244.0
90049,0.0,10.084,161605.0
90056,0.0,1.789,123457.0
90057,1.0,14.775,46513.0
90058,2.0,0.635,34093.0
90059,2.0,7.158,50939.0
90061,2.0,6.215,56837.0
90062,0.0,8.035,61422.0
90063,1.0,13.727,69307.0
90064,3.0,7.689,123929.0
90065,2.0,12.696,88329.0
90066,0.0,16.237,100344.0
90067,0.0,0.587,125995.0
90068,0.0,7.102,97151.0
90069,0.0,8.223,106133.0
90071,0.0,0.043,
90073,0.0,0.093,
90077,0.0,1.826,203194.0
90079,0.0,0.0,
90089,1.0,0.511,
90090,0.0,,
90094,0.0,3.834,156536.0
90095,0.0,0.0,
90201,0.0,23.085,53692.0
90210,0.0,4.783,172285.0
90211,0.0,2.064,115025.0
90212,0.0,2.797,101963.0
90220,2.0,11.031,69901.0
90221,1.0,12.993,64439.0
90222,0.0,7.456,68722.0
90230,0.0,8.31,107870.0
90232,1.0,4.613,113278.0
90240,0.0,7.335,99874.0
90241,0.0,12.001,81220.0
90242,1.0,10.755,81448.0
90245,3.0,5.372,142596.0
90247,0.0,12.946,70012.0
90248,0.0,2.655,75865.0
90249,0.0,6.47,83125.0
90250,1.0,24.114,74616.0
90254,0.0,6.406,149500.0
90255,0.0,18.362,57013.0
90260,0.0,9.812,80205.0
90262,1.0,15.664,67620.0
90263,0.0,0.193,
90265,0.0,3.972,186264.0
90266,0.0,9.186,187217.0
90270,0.0,6.785,57741.0
90272,0.0,5.043,225256.0
90274,0.0,5.915,206013.0
90275,0.0,9.866,166602.0
90277,0.0,10.318,120008.0
90278,0.0,12.074,143785.0
90280,0.0,24.224,67287.0
90290,0.0,1.438,138316.0
90291,0.0,8.224,111610.0
90292,0.0,7.922,136854.0
90293,0.0,3.969,124688.0
90301,2.0,9.513,61910.0
90302,1.0,7.388,68662.0
90303,1.0,6.035,67598.0
90304,1.0,7.245,57647.0
90305,0.0,3.274,85466.0
90401,1.0,2.239,89892.0
90402,0.0,3.004,171844.0
90403,0.0,6.638,123391.0
90404,2.0,6.302,87209.0
90405,0.0,7.11,101713.0
90501,0.0,11.138,89926.0
90502,0.0,5.034,95528.0
90503,0.0,12.616,117364.0
90504,0.0,8.724,101773.0
90505,0.0,8.911,108857.0
90506,0.0,0.0,
90601,0.0,7.703,96209.0
90602,0.0,6.949,63956.0
90603,0.0,5.372,117324.0
90604,0.0,10.639,95570.0
90605,0.0,9.906,94200.0
90606,0.0,7.741,86596.0
90623,0.0,3.886,110028.0
90630,0.0,12.637,117610.0
90631,0.0,18.534,98009.0
90638,0.0,11.757,104114.0
90640,0.0,15.958,72163.0
90650,1.0,25.654,91259.0
90660,0.0,15.694,82539.0
90670,0.0,4.263,83259.0
90701,0.0,3.703,92702.0
90703,0.0,11.745,124240.0
90704,0.0,1.21,89107.0
90706,0.0,19.939,75379.0
90710,0.0,6.349,75114.0
90712,0.0,8.147,119143.0
90713,0.0,7.901,123809.0
90715,0.0,5.168,89113.0
90716,0.0,3.647,73784.0
90717,0.0,5.712,88111.0
90723,0.0,13.637,67130.0
90731,0.0,16.445,69019.0
90732,0.0,5.441,115120.0
90740,0.0,4.709,75007.0
90744,0.0,13.328,58869.0
90745,0.0,14.422,103471.0
90746,0.0,6.028,109596.0
90747,0.0,0.0,
90755,0.0,3.553,96521.0
90802,4.0,13.702,69613.0
90803,0.0,10.147,107889.0
90804,0.0,10.76,64160.0
90805,0.0,22.129,64848.0
90806,2.0,9.475,67632.0
90807,0.0,9.02,89319.0
