NAME,mean_commute_minutes,zip_code
ZCTA5 90001,14.121,90001
ZCTA5 90002,11.883,90002
ZCTA5 90003,16.52,90003
ZCTA5 90004,17.042,90004
ZCTA5 90005,11.995,90005
ZCTA5 90006,16.622,90006
ZCTA5 90007,9.231,90007
ZCTA5 90008,7.432,90008
ZCTA5 90010,1.609,90010
ZCTA5 90011,26.76,90011
ZCTA5 90012,8.748,90012
ZCTA5 90013,3.622,90013
ZCTA5 90014,2.371,90014
ZCTA5 90015,8.966,90015
ZCTA5 90016,13.063,90016
ZCTA5 90017,8.741,90017
ZCTA5 90018,12.131,90018
ZCTA5 90019,17.179,90019
ZCTA5 90020,10.812,90020
ZCTA5 90021,0.824,90021
ZCTA5 90022,17.272,90022
ZCTA5 90023,10.428,90023
ZCTA5 90024,9.597,90024
ZCTA5 90025,15.007,90025
ZCTA5 90026,19.433,90026
ZCTA5 90027,14.18,90027
ZCTA5 90028,10.308,90028
ZCTA5 90029,9.882,90029
ZCTA5 90031,9.599,90031
ZCTA5 90032,10.798,90032
ZCTA5 90033,11.339,90033
ZCTA5 90034,17.975,90034
ZCTA5 90035,6.983,90035
ZCTA5 90036,10.982,90036
ZCTA5 90037,16.941,90037
ZCTA5 90038,9.898,90038
ZCTA5 90039,8.123,90039
ZCTA5 90040,2.737,90040
ZCTA5 90041,7.563,90041
ZCTA5 90042,16.869,90042
ZCTA5 90043,9.132,90043
ZCTA5 90044,20.382,90044
ZCTA5 90045,10.649,90045
ZCTA5 90046,17.008,90046
ZCTA5 90047,10.961,90047
ZCTA5 90048,6.238,90048
ZCTA5 90049,10.084,90049
ZCTA5 90056,1.789,90056
ZCTA5 90057,14.775,90057
ZCTA5 90058,0.635,90058
ZCTA5 90059,7.158,90059
ZCTA5 90061,6.215,90061
ZCTA5 90062,8.035,90062
ZCTA5 90063,13.727,90063
ZCTA5 90064,7.689,90064
ZCTA5 90065,12.696,90065
ZCTA5 90066,16.237,90066
ZCTA5 90067,0.587,90067
ZCTA5 90068,7.102,90068
ZCTA5 90069,8.223,90069
ZCTA5 90071,0.043,90071
ZCTA5 90073,0.093,90073
ZCTA5 90077,1.826,90077
ZCTA5 90079,0.0,90079
ZCTA5 90089,0.511,90089
ZCTA5 90090,,90090
ZCTA5 90094,3.834,90094
ZCTA5 90095,0.0,90095
ZCTA5 90201,23.085,90201
ZCTA5 90210,4.783,90210
ZCTA5 90211,2.064,90211
ZCTA5 90212,2.797,90212
ZCTA5 90220,11.031,90220
ZCTA5 90221,12.993,90221
ZCTA5 90222,7.456,90222
ZCTA5 90230,8.31,90230
ZCTA5 90232,4.613,90232
ZCTA5 90240,7.335,90240
ZCTA5 90241,12.001,90241
ZCTA5 90242,10.755,90242
ZCTA5 90245,5.372,90245
ZCTA5 90247,12.946,90247
ZCTA5 90248,2.655,90248
ZCTA5 90249,6.47,90249
ZCTA5 90250,24.114,90250
ZCTA5 90254,6.406,90254
ZCTA5 90255,18.362,90255
ZCTA5 90260,9.812,90260
ZCTA5 90262,15.664,90262
ZCTA5 90263,0.193,90263
ZCTA5 90265,3.972,90265
ZCTA5 90266,9.186,90266
ZCTA5 90270,6.785,90270
ZCTA5 90272,5.043,90272
ZCTA5 90274,5.915,90274
ZCTA5 90275,9.866,90275
ZCTA5 90277,10.318,90277
ZCTA5 90278,12.074,90278
ZCTA5 90280,24.224,90280
ZCTA5 90290,1.438,90290
ZCTA5 90291,8.224,90291
ZCTA5 90292,7.922,90292
ZCTA5 90293,3.969,90293
ZCTA5 90301,9.513,90301
ZCTA5 90302,7.388,90302
ZCTA5 90303,6.035,90303
ZCTA5 90304,7.245,90304
ZCTA5 90305,3.274,90305
ZCTA5 90401,2.239,90401
ZCTA5 90402,3.004,90402
ZCTA5 90403,6.638,90403
ZCTA5 90404,6.302,90404
ZCTA5 90405,7.11,90405
ZCTA5 90501,11.138,90501
ZCTA5 90502,5.034,90502
ZCTA5 90503,12.616,90503
ZCTA5 90504,8.724,90504
ZCTA5 90505,8.911,90505
ZCTA5 90506,0.0,90506
ZCTA5 90601,7.703,90601
ZCTA5 90602,6.949,90602
ZCTA5 90603,5.372,90603
ZCTA5 90604,10.639,90604
ZCTA5 90605,9.906,90605
ZCTA5 90606,7.741,90606
ZCTA5 90623,3.886,90623
ZCTA5 90630,12.637,90630
ZCTA5 90631,18.534,90631
ZCTA5 90638,11.757,90638
ZCTA5 90640,15.958,90640
ZCTA5 90650,25.654,90650
ZCTA5 90660,15.694,90660
ZCTA5 90670,4.263,90670
ZCTA5 90701,3.703,90701
ZCTA5 90703,11.745,90703
ZCTA5 90704,1.21,90704
ZCTA5 90706,19.939,90706
ZCTA5 90710,6.349,90710
ZCTA5 90712,8.147,90712
ZCTA5 90713,7.901,90713
ZCTA5 90715,5.168,90715
ZCTA5 90716,3.647,90716
ZCTA5 90717,5.712,90717
ZCTA5 90723,13.637,90723
ZCTA5 90731,16.445,90731
ZCTA5 90732,5.441,90732
ZCTA5 90740,4.709,90740
ZCTA5 90744,13.328,90744
