NAME,median_household_income,zip_code
ZCTA5 90001,57698.0,90001
ZCTA5 90002,54221.0,90002
ZCTA5 90003,51275.0,90003
ZCTA5 90004,58420.0,90004
ZCTA5 90005,49226.0,90005
ZCTA5 90006,47599.0,90006
ZCTA5 90007,36326.0,90007
ZCTA5 90008,57880.0,90008
ZCTA5 90010,92454.0,90010
ZCTA5 90011,51819.0,90011
ZCTA5 90012,58444.0,90012
ZCTA5 90013,24853.0,90013
ZCTA5 90014,26550.0,90014
ZCTA5 90015,61959.0,90015
ZCTA5 90016,63090.0,90016
ZCTA5 90017,46626.0,90017
ZCTA5 90018,58987.0,90018
ZCTA5 90019,65972.0,90019
ZCTA5 90020,55321.0,90020
ZCTA5 90021,29659.0,90021
ZCTA5 90022,65142.0,90022
ZCTA5 90023,52918.0,90023
ZCTA5 90024,74852.0,90024
ZCTA5 90025,103511.0,90025
ZCTA5 90026,80549.0,90026
ZCTA5 90027,86826.0,90027
ZCTA5 90028,57258.0,90028
ZCTA5 90029,56529.0,90029
ZCTA5 90031,59889.0,90031
ZCTA5 90032,76608.0,90032
ZCTA5 90033,50616.0,90033
ZCTA5 90034,97511.0,90034
ZCTA5 90035,110520.0,90035
ZCTA5 90036,97583.0,90036
ZCTA5 90037,52238.0,90037
ZCTA5 90038,57102.0,90038
ZCTA5 90039,108338.0,90039
ZCTA5 90040,62083.0,90040
ZCTA5 90041,111938.0,90041
ZCTA5 90042,89168.0,90042
ZCTA5 90043,63990.0,90043
ZCTA5 90044,48386.0,90044
ZCTA5 90045,125692.0,90045
ZCTA5 90046,87339.0,90046
ZCTA5 90047,67018.0,90047
ZCTA5 90048,102244.0,90048
ZCTA5 90049,161605.0,90049
ZCTA5 90056,123457.0,90056
ZCTA5 90057,46513.0,90057
ZCTA5 90058,34093.0,90058
ZCTA5 90059,50939.0,90059
ZCTA5 90061,56837.0,90061
ZCTA5 90062,61422.0,90062
ZCTA5 90063,69307.0,90063
ZCTA5 90064,123929.0,90064
ZCTA5 90065,88329.0,90065
ZCTA5 90066,100344.0,90066
ZCTA5 90067,125995.0,90067
ZCTA5 90068,97151.0,90068
ZCTA5 90069,106133.0,90069
ZCTA5 90071,-666666666.0,90071
ZCTA5 90073,-666666666.0,90073
ZCTA5 90077,203194.0,90077
ZCTA5 90079,-666666666.0,90079
ZCTA5 90089,-666666666.0,90089
ZCTA5 90090,,90090
ZCTA5 90094,156536.0,90094
ZCTA5 90095,-666666666.0,90095
ZCTA5 90201,53692.0,90201
ZCTA5 90210,172285.0,90210
ZCTA5 90211,115025.0,90211
ZCTA5 90212,101963.0,90212
ZCTA5 90220,69901.0,90220
ZCTA5 90221,64439.0,90221
ZCTA5 90222,68722.0,90222
ZCTA5 90230,107870.0,90230
ZCTA5 90232,113278.0,90232
ZCTA5 90240,99874.0,90240
ZCTA5 90241,81220.0,90241
ZCTA5 90242,81448.0,90242
ZCTA5 90245,142596.0,90245
ZCTA5 90247,70012.0,90247
ZCTA5 90248,75865.0,90248
ZCTA5 90249,83125.0,90249
ZCTA5 90250,74616.0,90250
ZCTA5 90254,149500.0,90254
ZCTA5 90255,57013.0,90255
ZCTA5 90260,80205.0,90260
ZCTA5 90262,67620.0,90262
ZCTA5 90263,-666666666.0,90263
ZCTA5 90265,186264.0,90265
ZCTA5 90266,187217.0,90266
ZCTA5 90270,57741.0,90270
ZCTA5 90272,225256.0,90272
ZCTA5 90274,206013.0,90274
ZCTA5 90275,166602.0,90275
ZCTA5 90277,120008.0,90277
ZCTA5 90278,143785.0,90278
ZCTA5 90280,67287.0,90280
ZCTA5 90290,138316.0,90290
ZCTA5 90291,111610.0,90291
ZCTA5 90292,136854.0,90292
ZCTA5 90293,124688.0,90293
ZCTA5 90301,61910.0,90301
ZCTA5 90302,68662.0,90302
ZCTA5 90303,67598.0,90303
ZCTA5 90304,57647.0,90304
ZCTA5 90305,85466.0,90305
ZCTA5 90401,89892.0,90401
ZCTA5 90402,171844.0,90402
ZCTA5 90403,123391.0,90403
ZCTA5 90404,87209.0,90404
ZCTA5 90405,101713.0,90405
ZCTA5 90501,89926.0,90501
ZCTA5 90502,95528.0,90502
ZCTA5 90503,117364.0,90503
ZCTA5 90504,101773.0,90504
ZCTA5 90505,108857.0,90505
ZCTA5 90506,-666666666.0,90506
ZCTA5 90601,96209.0,90601
ZCTA5 90602,63956.0,90602
ZCTA5 90603,117324.0,90603
ZCTA5 90604,95570.0,90604
ZCTA5 90605,94200.0,90605
ZCTA5 90606,86596.0,90606
ZCTA5 90623,110028.0,90623
ZCTA5 90630,117610.0,90630
ZCTA5 90631,98009.0,90631
ZCTA5 90638,104114.0,90638
ZCTA5 90640,72163.0,90640
ZCTA5 90650,91259.0,90650
