STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,geometry,lon,lat
80101,Downtown Long Beach Station,33.768071,-118.192921,POINT (-118.192921 33.768071),-118.192921,33.768071
80102,Pacific Ave Station,33.772258,-118.1937,POINT (-118.1937 33.772258),-118.1937,33.772258
80105,Anaheim Street Station,33.78183,-118.189384,POINT (-118.189384 33.78183),-118.189384,33.78183
80106,Pacific Coast Hwy Station,33.78909,-118.189382,POINT (-118.189382 33.78909),-118.189382,33.78909
80107,Willow Street Station,33.807079,-118.189834,POINT (-118.189834 33.807079),-118.189834,33.807079
80108,Wardlow Station,33.819865,-118.19609,POINT (-118.19609 33.819865),-118.19609,33.819865
80109,Del Amo Station,33.848222,-118.211017,POINT (-118.211017 33.848222),-118.211017,33.848222
80110,Artesia Station,33.876082,-118.222503,POINT (-118.222503 33.876082),-118.222503,33.876082
80111,Compton Station,33.89749,-118.224249,POINT (-118.224249 33.89749),-118.224249,33.89749
80112,Willowbrook - Rosa Parks Station - Metro A-Line,33.928048,-118.237555,POINT (-118.237555 33.928048),-118.237555,33.928048
80113,103rd Street / Watts Towers  Station,33.94222,-118.243159,POINT (-118.243159 33.94222),-118.243159,33.94222
80114,Firestone Station,33.959611,-118.243205,POINT (-118.243205 33.959611),-118.243205,33.959611
80115,Florence Station,33.97374,-118.243271,POINT (-118.243271 33.97374),-118.243271,33.97374
80116,Slauson Station,33.98876,-118.243398,POINT (-118.243398 33.98876),-118.243398,33.98876
80117,Vernon Station,34.00292,-118.243303,POINT (-118.243303 34.00292),-118.243303,34.00292
80118,Washington Station,34.01965,-118.243084,POINT (-118.243084 34.01965),-118.243084,34.01965
80119,San Pedro Street Station,34.026807,-118.255505,POINT (-118.255505 34.026807),-118.255505,34.026807
80120,Grand / LATTC Station,34.033155,-118.269333,POINT (-118.269333 34.033155),-118.269333,34.033155
80121,Pico Station,34.040735,-118.266118,POINT (-118.266118 34.040735),-118.266118,34.040735
