STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,geometry,lon,lat,index_right,zip_code,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME_x,mean_commute_time,NAME_y,median_income
80101,Downtown Long Beach Station,33.768071,-118.192921,POINT (-118.192921 33.768071),-118.192921,33.768071,7957,90802,90802,B5,G6350,S,16914695,19292203,+33.7513530,-118.2068203,ZCTA5 90802,13.702,ZCTA5 90802,69613.0
80102,Pacific Ave Station,33.772258,-118.1937,POINT (-118.1937 33.772258),-118.1937,33.772258,7957,90802,90802,B5,G6350,S,16914695,19292203,+33.7513530,-118.2068203,ZCTA5 90802,13.702,ZCTA5 90802,69613.0
80105,Anaheim Street Station,33.78183,-118.189384,POINT (-118.189384 33.78183),-118.189384,33.78183,28279,90813,90813,B5,G6350,S,7975878,242361,+33.7822587,-118.1967927,ZCTA5 90813,13.152,ZCTA5 90813,48535.0
80106,Pacific Coast Hwy Station,33.78909,-118.189382,POINT (-118.189382 33.78909),-118.189382,33.78909,28279,90813,90813,B5,G6350,S,7975878,242361,+33.7822587,-118.1967927,ZCTA5 90813,13.152,ZCTA5 90813,48535.0
80107,Willow Street Station,33.807079,-118.189834,POINT (-118.189834 33.807079),-118.189834,33.807079,8020,90806,90806,B5,G6350,S,12656291,218584,+33.8088695,-118.1784855,ZCTA5 90806,9.475,ZCTA5 90806,67632.0
80108,Wardlow Station,33.819865,-118.19609,POINT (-118.19609 33.819865),-118.19609,33.819865,8020,90806,90806,B5,G6350,S,12656291,218584,+33.8088695,-118.1784855,ZCTA5 90806,9.475,ZCTA5 90806,67632.0
80109,Del Amo Station,33.848222,-118.211017,POINT (-118.211017 33.848222),-118.211017,33.848222,8332,90221,90221,B5,G6350,S,13938903,190724,+33.8858107,-118.2064586,ZCTA5 90221,12.993,ZCTA5 90221,64439.0
80110,Artesia Station,33.876082,-118.222503,POINT (-118.222503 33.876082),-118.222503,33.876082,8016,90220,90220,B5,G6350,S,17916259,156703,+33.8797798,-118.2296785,ZCTA5 90220,11.031,ZCTA5 90220,69901.0
80111,Compton Station,33.89749,-118.224249,POINT (-118.224249 33.89749),-118.224249,33.89749,8016,90220,90220,B5,G6350,S,17916259,156703,+33.8797798,-118.2296785,ZCTA5 90220,11.031,ZCTA5 90220,69901.0
80112,Willowbrook - Rosa Parks Station - Metro A-Line,33.928048,-118.237555,POINT (-118.237555 33.928048),-118.237555,33.928048,28786,90059,90059,B5,G6350,S,8188713,42487,+33.9274687,-118.2487959,ZCTA5 90059,7.158,ZCTA5 90059,50939.0
80113,103rd Street / Watts Towers  Station,33.94222,-118.243159,POINT (-118.243159 33.94222),-118.243159,33.94222,7684,90002,90002,B5,G6350,S,7750658,0,+33.9489868,-118.2467796,ZCTA5 90002,11.883,ZCTA5 90002,54221.0
